columnName,columntype,autofilled,mandatory,defaultValue,validLevels,valueType,description
taxonID,assisted,TRUE,NULL,,,categorical,Verified name identifier of the species or subspecies (or higher taxon) for which this value was collected. Each entry must be precisely matched with the species reference list. No synonyms allowed.
taxonRank,autogenerated,TRUE,NULL,,"domain, kingdom, subkingdom, superphylum, phylum, subphylum, superclass, class, subclass, supercohort, cohort, subcohort, superorder, order, suborder, infraorder, superfamily, family, subfamily, tribe, subtribe, genus, subgenus, section, subsection, series, subseries, speciesAggregate, species, subspecificAggregate, subspecies, variety, cultivar, strain",categorical,"Information about the resolution of the taxon, to clarify cases where information is not given on a species level."
taxonID_user,mandatory,FALSE,TRUE,,,character,Original character string provided as species name by the data owner (kept for reference only)
traitID,mandatory,FALSE,TRUE,,[trait list],categorical,"Unique identifier of the trait following the thesaurus of traits available on BExIS, An value of format A1"
traitName,autogenerated,TRUE,NULL,,,categorical,Name of the trait following the thesaurus of traits available on BExIS
traitName_user,mandatory,FALSE,TRUE,NA,,character,Name of the trait as used by the data provider (kept for compatibility on provider side)
measurementValue,mandatory,FALSE,TRUE,NA,,character,Standardised measured value or factor level for this species trait. Numerical values must use the correct unit. Factor levels  must be compliant with the thesaurus of traits. 
measurementUnit,autogenerated,TRUE,FALSE,,,character,The unit of measurement as defined in the thesaurus of traits. 
measurementValue_user,mandatory,FALSE,TRUE,NA,,character,Measured raw value or factor level for this species trait as measured and provided by the author. 
measurementUnit_user,mandatory,FALSE,TRUE,NA,,character,"The unit that the author's raw data were measured in, if applicable (only for numeric values)."
lifeStage,optional,FALSE,FALSE,NA,,character,"The life stage of the measured specimen. Recommended entries are: adult, egg/seed, seedling, sapling, larval_instar_1, larval_instar_2, larval_instar_3, ... , pupae"
age,optional,FALSE,FALSE,NA,,numerical,The age of the specimen in years.
sex,optional,FALSE,FALSE,NA,"male, female, subadult, unknown, hermaphrodite",categorical,"Defining the sex of the measured specimen, to capture dimorphisms. Subadult: sex cannot be determined. Unknown: sex could have been determined but was not attempted"
morphotype,optional,FALSE,FALSE,NA,,character,"Describing the morphotype of the specimen. Examples could be winged/unwinged, color morphs, etc."
basisOfRecord,mandatory,FALSE,TRUE,,"LivingSpecimen, PreservedSpecimen, FossilSpecimen, literatureData, traitDatabase, expertKnowledge",categorical,"How and from which kind of specimen were the data obtained? Options are: Taken by own measurement (distinguish LivingSpecimen, PreservedSpecimen, FossilSpecimen) or taken from literature (literatureData), from an existing trait database (traitDatabase), or expert knowledge (expertKnowledge)."
basisOfRecordDescription,optional,FALSE,FALSE,NA,,character,"Adding more detail to the basisOfRecord. If life specimens were sampled, where did they come from: The exploratories or sampled elsewhere? Have they been reared in cultivation? If literature data, provide type of literature, e.g. textbook, website, database, etc."
associatedReference,optional,FALSE,FALSE,NA,,character,"This should contain the precise reference to the source. If literature data, this should quote the book or online database. If museum this should report the name of the collection. If expert knowledge, this should name the authority."
taxonResolution,optional,FALSE,FALSE,NA,"domain, kingdom, subkingdom, superphylum, phylum, subphylum, superclass, class, subclass, supercohort, cohort, subcohort, superorder, order, suborder, infraorder, superfamily, family, subfamily, tribe, subtribe, genus, subgenus, section, subsection, series, subseries, speciesAggregate, species, subspecificAggregate, subspecies, variety, cultivar, strain",categorical,"If the trait information was originally given on another taxonomic level than species. Applies to literature data or data based on expert knowledge. For example, information given in literature could state ""most species in this genus are winged"", but the trait data could be given for each species in this genus."
measurementMethod,optional,FALSE,FALSE,NA,,character,"The method used to measure a (numerical) trait value. Should be a concise and standardised reply, referring to a particular method, e.g. 'direct weighing', 'length-mass regression'. A more detailed description of or reference to (publication, URI) of the method or protocol used to determine the measurement, fact, characteristic, or assertion should be given in the metadata of the dataset. e.g. measurement at a certain temperature or humidity (any detail could be provided here). The name and specification of the measurement device need to be given somewhere."
measurementDeterminedBy,optional,FALSE,FALSE,NA,,character,The person who conducted the measurement. Can be encoded by identifiers for reasons of privacy. This is kept as a co-factor for repeated measurements.
measurementDeterminedDate,optional,FALSE,FALSE,NA,,date,The date of the measurement. Also kept as a co-factor. Use format YYYY-MM-DD hh:mm
measurementRemarks,optional,FALSE,FALSE,NA,,character,"Any particularities about the individual measurement or specimen that might affect trait measuremnt, e.g. 'last antenna segment missing'."
NrIndividuals,optional,FALSE,FALSE,1,,numerical,"If replicate contains an aggregate measure of multiple individuals, report number of specimens as count, i.e. integer number. Defaults to 1"
AggregateMeasure,autogenerated,TRUE,,FALSE,"TRUE, FALSE",boolean,"If NrIndividuals is given (i.e. not 1), this is automatically set to TRUE"
variation,optional,FALSE,FALSE,0,,numerical,"If multiple individuals, the variance or standard deviation for the value is to be reported here. Defaults to 0. If a value is provided, report the statistical method in the field statisticalMethod."
measurementValue_min,optional,FALSE,FALSE,NA,,numerical,"Instead of or in addition to variance, the range of values should be reported for aggregate measures."
measurementValue_max,optional,FALSE,FALSE,NA,,numerical,"Instead of or in addition to variance, the range of values should be reported for aggregate measures."
measurementAccuracy,optional,FALSE,FALSE,NA,,character,"A character string, reporting e.g. weighting accuracy of scale or the precision of the method, the error sources etc."
statisticalMethod,optional,FALSE,FALSE,NA,,character,"For aggregated measures, report the method for data aggregation or averaging as well as the variation or range. E.g. 'mean and standard deviation', 'median and 95% confidence interval', 'mean and variance', 'mean and range of values', 'median and 95% interquantile range'"
specimenID,optional,FALSE,FALSE,NA,,character,"Author code or museum ID referring to the individual specimen from which the data were measured. This is important for the analysis of co-variation of morphometric data. This should couple measurements on a single specimen, which also could be a leaf or a single bone without an assignment to an individual organism. If available, upload related dataset to describe specimens more precisely, e.g. environmental parameters or identity related information."
eventID,optional,FALSE,FALSE,NA,,character,"The sampling event or campaign during which the specimen was collected. If possible, link this information to another table that provides more details e.g. environmental or temporal parameters, descriptions on methods etc."
year,optional,FALSE,FALSE,NA,,integer,"The date, at which the specimens were extracted or sampled. For lower precision, use year, month and day field instead. Note: this is not to record the date when the specimens were measured (use measurementDeterminedDate for this). If applicable, at least provide a year. This is particularly important if the measurements were taken from specimens from the exploratories or museum specimens."
month,optional,FALSE,FALSE,NA,,integer,The date at which the specimens were extracted or sampled. 
day,optional,FALSE,FALSE,NA,,integer,The date at which the specimens were extracted or sampled. 
eventDate,optional,FALSE,FALSE,NA,,character,"The date at which the specimens were extracted or sampled. If providing eventDate, then enter format of type: YYYY-MM-DD hh:mm (fall back to 12:00 if no time is available)."
OriginExploratories,mandatory,FALSE,TRUE,FALSE,,boolean,Identifies specimen which originate from the Exploratories. 
ExploratoriesPlotID,optional,FALSE,FALSE,NA,,categorical,"EP plot ID (or also any valid Gridplot ID or VIP ID) where the measured specimen was extracted. Only for specimen that were extracted from the exploratories directly (or direct offspring, if hatched in the lab). Please also report it, even if this was not part of your research question and provide a Date (a year at last) if available."
Exploratory,assisted,TRUEIF,FALSE,NA,"H,S,A",categorical,"Exploratories Region (Hainich, Schorfheide, Alb) for sorting purpose and readability, or if exact Plot ID is not available. Report the Region in format: A, H, S."
ExploType,assisted,TRUEIF,FALSE,NA,"W, G",categorical,"W for forest or G for grassland plot. This is automaticall extracted by the R script from ExploratoriesPlotID, if provided."
locationID,optional,FALSE,FALSE,NA,,categorical,"A unique, dataset-specific identifier. Could report the subplot within the Exploratories, or the plot or replicate of a separate experimental setting. If further information is available, specify locationIDs in a separate dataset."
habitat,optional,FALSE,FALSE,NA,"forest, grassland",categorical,"A character string reporting habitat type from which the specimen was sampled. E.g. 'forest', 'grassland', 'oak savanna', 'pre-cordilleran steppe'."
decimalLongitude,assisted,TRUEIF,FALSE,NA,,numerical,"The geographic longitude (in decimal degrees, using the spatial reference system given in geodeticDatum) of the geographic center of a Location. Positive values are east of the Greenwich Meridian, negative values are west of it. Legal values lie between -180 and 180, inclusive."
decimalLatitude,assisted,TRUEIF,FALSE,NA,,numerical,"The geographic latitude (in decimal degrees, using the spatial reference system given in geodeticDatum) of the geographic center of a Location. Positive values are north of Equator, negative values are south of it. Legal values lie between -180 and 180, inclusive."
ElevationInMeters,assisted,TRUEIF,FALSE,NA,,numerical,Elevation above see level of the sampling location.
geodeticDatum,assisted,TRUEIF,FALSE,NA,,categorical,"The geodeticDatum defines the ellipsoid, geodetic datum, or spatial reference system (SRS) upon which the geographic coordinates given in decimalLatitude and decimalLongitude as based. Recommended system is ""WGS84"". Use the EPSG code to provide an SRS. Examples: ""EPSG:4326"", ""WGS84"", ""NAD27"", ""Campo Inchauspe"", ""European 1950"", ""Clarke 1866""*"
verbatimLocality,optional,FALSE,FALSE,NA,,character,"The specific description of the place. Less specific geographic information can be provided in other geographic terms (higherGeography, continent, country, stateProvince, county, municipality, waterBody, island, islandGroup). This term may contain information modified from the original to correct perceived errors or standardize the description."
