Category, Group, Type, Trait, Strategy,Attribute
Behaviour,Dispersal_behaviour,,,Active_dispersal,Density_dependant_dispersal
Behaviour,Intraspecific_relation,Reproduction_behaviour,Mating_strategy,Chemical_strategies,
Behaviour,Intraspecific_relation,Reproduction_behaviour,Mating_strategy,Stridulation_strategy,
Behaviour,Intraspecific_relation,Reproduction_behaviour,Parental_care,Carrying_eggs_strategy,
Behaviour,Intraspecific_relation,Reproduction_behaviour,Parental_care,Feeding_strategy,
Behaviour,Intraspecific_relation,Reproduction_behaviour,Parental_care,Physical_eggs_protection,
Behaviour,Intraspecific_relation,Reproduction_behaviour,Sperm_transmission,Direct_sperm_transmission,
Behaviour,Intraspecific_relation,Reproduction_behaviour,Sperm_transmission,Indirect_sperm_transmission,
Behaviour,Intraspecific_relation,Sociability,,Gregarious_strategy,
Behaviour,Intraspecific_relation,Sociability,,Social_strategy,
Behaviour,Motion_strategies,,,Active_flight_strategy,
Behaviour,Motion_strategies,,,Crawling_strategy,
Behaviour,Motion_strategies,,,Diggingburrowing_strategies,
Behaviour,Motion_strategies,,,Jumping_strategy,
Behaviour,Motion_strategies,,,Passive_flight_strategy,
Behaviour,Motion_strategies,,,Walking_strategy,
Behaviour,Nutrition_behaviour,Diet,Detritivore,Coprophagous,
Behaviour,Nutrition_behaviour,Diet,Detritivore,Necrophagous,
Behaviour,Nutrition_behaviour,Diet,Detritivore,Saprophageous,
Behaviour,Nutrition_behaviour,Diet,Detritivore,Saproxylophageous,
Behaviour,Nutrition_behaviour,Diet,Geophage,Geophagous,
Behaviour,Nutrition_behaviour,Diet,Microbivore-microphytophagous,Bacterivore,
Behaviour,Nutrition_behaviour,Diet,Microbivore-microphytophagous,Fungivore,
Behaviour,Nutrition_behaviour,Diet,Phytophage,Folivore_succivore_bryophage,
Behaviour,Nutrition_behaviour,Diet,Phytophage,Granivore_fructivore_carpophagous_pollivore,
Behaviour,Nutrition_behaviour,Diet,Phytophage,Radicivore,
Behaviour,Nutrition_behaviour,Diet,Phytophage,Xylophage,
Behaviour,Nutrition_behaviour,Diet,Zoophage,Zoophage,
Behaviour,Nutrition_behaviour,Foraging,,Hunting_strategy,Run_and_kill
Behaviour,Nutrition_behaviour,Foraging,,Hunting_strategy,Sit_and_wait
Behaviour,Nutrition_behaviour,Foraging,,Trap_strategy,
Behaviour,Protection_behaviour,,Antipredator_behaviour,Camouflage_strategies,
Behaviour,Protection_behaviour,,Antipredator_behaviour,Mimicry,
Behaviour,Protection_behaviour,,Protection_against_climatic_adversity,Overwintering,
Behaviour,Protection_behaviour,,Protection_against_climatic_adversity,Starvation_strategies,
Behaviour,Protection_behaviour,,Protection_against_pollution,,
Morphology,Growth_and_development,Body_dimension,,,Body_length
Morphology,Growth_and_development,Body_dimension,,,Body_width
Morphology,Growth_and_development,Body_shape,,Cylindrical-body,Slender_cylindrical
Morphology,Growth_and_development,Body_shape,,Cylindrical-body,Wide_cylindrical
Morphology,Growth_and_development,Body_shape,,Ovoid-body,
Morphology,Growth_and_development,Body_shape,,Spherical-body,
Morphology,Growth_and_development,Body_shape,,Trapezoidal,
Morphology,Growth_and_development,Body_weight,,,Dry_body_weight
Morphology,Growth_and_development,Body_weight,,,Fresh_body_weight
Morphology,Nutrition,,Lipidic_storage_tissues,,
Morphology,Nutrition,,Mandible_length,,
Morphology,Nutrition,,Mandible_width,,
Morphology,Nutrition,,Mouthpart_type,,Absent
Morphology,Nutrition,,Mouthpart_type,,Chewing
Morphology,Nutrition,,Mouthpart_type,,Piercing-sucking
Morphology,Nutrition,,Mouthpart_type,,Sucking
Morphology,Nutrition,,Mouthpart_type,,Swallowing
Morphology,Nutrition,,Respiratory_organ_type,,Dermis
Morphology,Nutrition,,Respiratory_organ_type,,Lung
Morphology,Nutrition,,Respiratory_organ_type,,Trachea
Morphology,Relation,Locomotion,Leg,Article_dimension,Femur_length
Morphology,Relation,Locomotion,Leg,Article_dimension,Femur_width
Morphology,Relation,Locomotion,Leg,Article_dimension,Tibia_length
Morphology,Relation,Locomotion,Leg,Article_dimension,Trochanter_length
Morphology,Relation,Locomotion,Leg,Leg_length,
Morphology,Relation,Locomotion,Saltatory_apparatus,Furcula_length,Furcula-absent
Morphology,Relation,Locomotion,Saltatory_apparatus,Furcula_length,Long-furcula
Morphology,Relation,Locomotion,Saltatory_apparatus,Furcula_length,Reduced-furcula
Morphology,Relation,Locomotion,Saltatory_apparatus,Furcula_length,Short-furcula
Morphology,Relation,Locomotion,Saltatory_apparatus,Furcula_length,Vestigial-furcula
Morphology,Relation,Locomotion,Saltatory_apparatus,Saltatory_apparatus_length,
Morphology,Relation,Locomotion,Wing,Median_nervure_length,
Morphology,Relation,Locomotion,Wing,Radial_nervure_length,
Morphology,Relation,Locomotion,Wing,Wing_development,Apterous
Morphology,Relation,Locomotion,Wing,Wing_development,Brachypterous
Morphology,Relation,Locomotion,Wing,Wing_development,Macropterous
Morphology,Relation,Locomotion,Wing,Wing_surface,
Morphology,Relation,Protection,Color-pigmentation,Body_color,
Morphology,Relation,Protection,Color-pigmentation,Body_color_gradient,
Morphology,Relation,Protection,Color-pigmentation,Body_color_pattern,
Morphology,Relation,Protection,Color-pigmentation,Body_pigmentation,
Morphology,Relation,Protection,Detoxication_strategies,,
Morphology,Relation,Protection,Integument,Integument_sclerotization,
Morphology,Relation,Protection,Repellent_glands,,
Morphology,Relation,Protection,Thermoregulation_strategies,,
Morphology,Relation,Sensitivity,Waterregulation_strategies,,
Morphology,Relation,Sensitivity,Antenna,Antenna_categorical_length,Long-antenna
Morphology,Relation,Sensitivity,Antenna,Antenna_categorical_length,Medium-sized-antenna
Morphology,Relation,Sensitivity,Antenna,Antenna_categorical_length,Short-antenna
Morphology,Relation,Sensitivity,Antenna,Antenna_length,
Morphology,Relation,Sensitivity,Antenna,Antenna_shape,
Morphology,Relation,Sensitivity,Antenna,Antenna_surface,
Morphology,Relation,Sensitivity,Receptor_type,Chemoreceptor,
Morphology,Relation,Sensitivity,Receptor_type,Mechanoreceptor,
Morphology,Relation,Sensitivity,Receptor_type,Photoreceptor,
Morphology,Relation,Sensitivity,Receptor_type,Thermoreceptor,
Morphology,Relation,Sensitivity,Visual,Eye_diameter,
Morphology,Relation,Sensitivity,Visual,Maximal_number_of_visual_organ,
Morphology,Relation,Sensitivity,Visual,Visual_cell_type,
Morphology,Relation,Sensitivity,Visual,Visual_organ_position,
Morphology,Relation,Sensitivity,Visual,Visual_organ_type,
Morphology,Reproduction,Marsupium_organ,,,
Morphology,Reproduction,Sexual_dimorphism,Behaviour_sexual_dimorphism,,
Morphology,Reproduction,Sexual_dimorphism,Coloration_sexual_dimorphism,,
Morphology,Reproduction,Sexual_dimorphism,Organ_sexual_dimorphism,,
Morphology,Reproduction,Sexual_dimorphism,Ornementation_sexual_dimorphism,,
Morphology,Reproduction,Sexual_dimorphism,Size_sexual_dimorphism,,
Morphology,Reproduction,Sperm_storage_organ,,,
Phenology,Adult_activity,,,,Adult_activity_medium
Phenology,Adult_activity,,,,Adult_activity_strong
Phenology,Adult_activity,,,,Adult_activity_weak
Phenology,Adult_emergence,,,,Adult_emergence_medium
Phenology,Adult_emergence,,,,Adult_emergence_strong
Phenology,Adult_emergence,,,,Adult_emergence_weak
Phenology,Development,Inter-molt_duration,,,
Phenology,Development,Juvenile_stadia_duration,,,
Phenology,Development,Lifespan,,,
Phenology,Development,Maturation_time,,,
Phenology,Development,Reproduction_time,,,
Phenology,Development,Stadial_number,,,
Phenology,Development,Voltinism,,,Bivoltine
Phenology,Development,Voltinism,,,Multivoltine
Phenology,Development,Voltinism,,,Univoltine
Physiology,Bioconcentration,,,,
Physiology,Clutch,,,,
Physiology,Clutch,Clutch_length,,,
Physiology,Clutch,Clutch_type,,,
Physiology,Digestion_type,,,,
Physiology,Postembryologic_development,,,,
Physiology,Regeneration_strategies,,,,
Physiology,Reproduction_type,Asexual_reproduction,,,Arrhenotokous
Physiology,Reproduction_type,Asexual_reproduction,,,Deuterotokous
Physiology,Reproduction_type,Asexual_reproduction,,,Thelytokous
Physiology,Reproduction_type,Sexual_reproduction,,,
Physiology,Venom_excretion,,,,
Ecological_preference,Altitude,,,,
Ecological_preference,Annual_rainfall,,,,
Ecological_preference,Habitat,Agricultural_area,Arable_land,Crop,
Ecological_preference,Habitat,Agricultural_area,Fallow,,
Ecological_preference,Habitat,Agricultural_area,Perenial,Orchards,
Ecological_preference,Habitat,Agricultural_area,Perenial,Pasture_meadows,
Ecological_preference,Habitat,Agricultural_area,Perenial,Vineyards,
Ecological_preference,Habitat,Artificial_surface,Buildings,,
Ecological_preference,Habitat,Artificial_surface,Communication_networks,,
Ecological_preference,Habitat,Artificial_surface,Industrial_area,,
