trait_ID,trait_class,trait_type,trait_name,votes,Unit,type_of_value,MaxAllowedValue,MinAllowedValue,FactorLevels,Definition
,behaviour,activity_time,Phenology,7,list of months,character,,,,semicolon separated months
,behaviour,activity_time,Activity period,2,,character,,,, months from -- to
,behaviour,activity_time,length of activity period,,[months],,,,,
,behaviour,activity_time,first Emergence in the year,,[date],integer,,,,
,behaviour,activity_time,last observation in the year,,[date],integer,,,,
,behaviour,colony_mode,colony founding,,,,,, (independent or dependent; social parasite),
,behaviour,dispersal_mode,dispersal mode,,,,,,,
A2,behaviour,dispersal_range,Dispersal,8,,,,,,
,behaviour,locomotion_speed,,,,numerical,,,,
,behaviour,mobility_range,Mobility,,,,,,,
A6,behaviour,habitat,Vertical distribution of habitat / stratum use,6,,,,,,
,behaviour,habitat,Habitat preferences,2,,,,,,
,behaviour,habitat,habitat specialization ,,,categorical,,,,
,behaviour,sociality,eusocial,,,categorical,,,,
,behaviour,aggregation,clustering of individuals,,,,,,,
,behaviour,geographic_range,Distribution,,,,,,,
,behaviour,relict_species,,,,,,,,
,behaviour,,Moths flight period [month];,,,,,,,
,behaviour,habitat,micro-habitat;,,,,,,,
,behaviour,habitat,nest sites;,,,,,,,usually extracted from network data 
,behaviour,,migrational tendency,,,,,,,parasite or mutualist hosts
,behaviour,habitat,tree-hole specialist,,,boolean,,,,
,behaviour,habitat,forest species,,,boolean,,,,number of eggs in a clutch
,behaviour,habitat,grassland species,,,boolean,,,,
,behaviour,environment,Ecology_Type [categorical],,,,,,,
,behaviour,environment,Nature_Orientation [categorical]; ,,,,,,,
,behaviour,environment,Altitude [categorical]; ,,,,,,,
,behaviour,habitat_specialisation,Distribution [categorical]; ,,,categorical,,,,
,behaviour,wing_type,macropter [Yes/No]; ,,,boolean,,,,
,behaviour,wing_type,submacropter [Yes/No];,,,boolean,,,,
,behaviour,wing_type, brachypter [Yes/No]; ,,,,,,,
,behaviour,environment,Altitude [categorical]; ,,,,,,,
,behaviour,environment,Special habitats [categorical]; ,,,,,,,
,behaviour,environment,Humidity [categorical]; ,,,,,,,
,behaviour,environment,Temperature [categorical]; ,,,,,,,
,behaviour,environment,Light [categorical]; ,,,,,,,
,behaviour,environment,Substrate [categorical];,,,,,,,
,behaviour,environment, Biotop [categorical]; ,,,,,,,
,behaviour,wing_type,apter [Yes/No]; ,,,,,,,
,behaviour,wing_type,hyopter [Yes/No]; ,,,,,,,
,behaviour,wing_type, Eupter Vfl=Hfl [Yes/No]; ,,,,,,,
,behaviour,wing_type,Parapter Hfl > Vfl [Yes/No]; ,,,,,,,
,behaviour,flight_ability,Flight ability [Yes/No]; ,,,,,,,
A3,feeding,feeding_guild,feeding guild,9,,categorical,,,"herbivore, detritivore, fungivore, predator, pariste, hyperparasite",
,feeding,feeding_guild,food source,,,categorical,,,,
,feeding,feeding_guild,diet,,,character,,,,
,feeding,feeding_guild,trophic level,,,numerical,,,,
,feeding,feeding_mode,Hunting mode,,,categorical,,,"net building, foraging, grazing",
,feeding,feeding_mode,Feeding mode,,,categorical,,,"extraintestinal, sucking, chewing",
,feeding,larval_specialisation,Larval feeding breadth,,,categorical,,,,
,feeding,mouthpart_size,Tongue length,,[mm],numerical,,,,
A4,feeding,specialisation,feeding specialization,10,,categorical,,,,
,feeding,specialisation,number of resource species,,,integer,,,,
,feeding,specialisation,host specialisation,,,categorical,,,,
,feeding,body_size,pronotum length/width ratio,,,,,,,
,life-history,clutch_size,clutch size,,,numerical,,,,
,life-history,egg_size,egg length,,,numerical,,,,
,life-history,egg_size,egg volume,,,numerical,,,,
,life-history,egg_size,egg weight,,,numerical,,,,
,life-history,hibernation_mode,Hibernation,,,categorical,,,,
,life-history,nesting_habitat,nest habitat specialisation,,,,,,,
,life-history,,reproductive mode,,,,,,,
,life-history,sociality,social structure,,,,,, (single or more queens; single or more nests; ,
,life-history,,generation time,,,numerical,,,,
,life-history,lifespan,average life span,,[d],numerical,,,,
,life-history,lifespan,maximum lifespan,,,numerical,,,,
A8,life-history,maturation,Age at maturity,,,,,,,
,life-history,ontogeny,number of developmental stages,,,,,,,
,life-history,ontogeny,mode of developmental stages,,,,,,,
A5,life-history,voltinism,generations per year / Voltinism,,,numerical,,,,
,life-history,,Nr_Ovariols [numeric]; ,,,,,,,
,life-history,,Nr_eggs [numeric];,,,,,,,
,life-history,,Egg_development_time [categorical]; ,,,,,,,
,life-history,,Egg_biomass [categorical]; ,,,,,,,
