trait_ID,trait_class,trait_type,trait_name,votes,Unit,type_of_value,MaxAllowedValue,MinAllowedValue,FactorLevels,Definition,,,,
,behaviour,aggregation,clustering of individuals,,,character,,,,,,,,
,behaviour,colony_mode,colony founding,,,categorical,,, (independent or dependent,,,,,
,behaviour,dispersal,Dispersal_mode,9,,character,,,,,,,,
,behaviour,dispersal,Dispersal_ability,,,categorical,,,"0,0.25,0.5,0.75,1",,,,,
,behaviour,dispersal,Dispersal_range,,,categorical,,,,,,,,
,behaviour,dispersal,migrational tendency,,,character,,,,parasite or mutualist hosts,,,,
,behaviour,dispersal,passive dispersal,,,boolean,,,,,,,,
,behaviour,dispersal,Flight ability,,,boolean,,,,,,,,
,behaviour,dispersal,locomotion_speed,,,numerical,,,,,,,,
,behaviour,dispersal,Mobility,,,categorical,,,,,,,,
A211,behaviour,ecological_preference,geographic_range,3,,character,,,,"Geographic range where species has been reported. Can be a geographic category (e.g. Eurasia) or a list of countries separated by "";"".",,,,
,behaviour,feeding_guild,diet,,,character,,,,,,,,
A3,behaviour,feeding_guild,feeding guild,9,,categorical,,,"herbivore, detritivore, nectarivore", detritivore, fungivore, predator, pariste, hyperparasite
,behaviour,feeding_guild,food source,,,categorical,,,,,,,,
,behaviour,feeding_guild,trophic level,,,numerical,,,,,,,,
,behaviour,feeding_mode,Feeding mode,,,categorical,,,extraintestinal, sucking, chewing,,,
,behaviour,feeding_mode,Hunting mode,,,categorical,,,net building, foraging, grazing,,,
,behaviour,habitat,forest species,,,boolean,,,,number of eggs in a clutch,,,,
,behaviour,habitat,grassland species,,,boolean,,,,,,,,
,behaviour,habitat,Habitat preferences,2,,categorical,,,,,,,,
,behaviour,habitat,habitat specialization ,,,categorical,,,,,,,,
,behaviour,habitat,micro-habitat,,,categorical,,,,,,,,
,behaviour,habitat,nest sites,,,categorical,,,,,,,,
,behaviour,habitat,tree-hole specialist,,,boolean,,,,,,,,
A6,behaviour,habitat,Vertical distribution of habitat / stratum use,6,,categorical,,,,,,,,
,behaviour,habitat,relict_species,,,boolean,,,,"if dependent on pre-anthropogenic conditions (e.g. ""Urwald-Reliktarten""",,,,
,behaviour,feeding_guild,Larval feeding breadth,,,categorical,,,,,,,,
,behaviour,pollination,color_preference,,,categorical,,,,,,,,
A7,behaviour,pollination,flower_specialisation,,,categorical,,,,,,,,
,behaviour,pollination,Flower_visitor,,,boolean,,,,,,,,
,behaviour,sociality,eusocial,,,categorical,,,,,,,,
,behaviour,specialisation,Deadwood_dependent,,,boolean,,,,,,,,
,behaviour,specialisation,Host-or Prey (animals),,,categorical,,,,,,,,
A4,behaviour,specialisation,feeding specialization,10,,categorical,,,,,,,,
,behaviour,specialisation,Host,,,categorical,,,,,,,,
,behaviour,specialisation,number of resource species,,,integer,,,,,,,,
,behaviour,specialisation,Plants,,,categorical,,,,,,,,
,behaviour,stoichiometry,Stable Isotopes,, [delta per mill],numerical,,,,,,,,
,behaviour,wing_type,brachypter,,,boolean,,,,,,,,
,behaviour,wing_type,Eupter Vfl=Hfl,,,boolean,,,,,,,,
,behaviour,wing_type,apter,,,boolean,,,,,,,,
,behaviour,wing_type,hyopter,,,boolean,,,,,,,,
,behaviour,wing_type,macropter,,,boolean,,,,,,,,
,behaviour,wing_type,Parapter Hfl > Vfl,,,boolean,,,,,,,,
,behaviour,wing_type,submacropter,,,boolean,,,,,,,,
,environment,altitude,Altitude,,,categorical,,,,,,,,
,environment,biotop,Biotop,,,categorical,,,,,,,,
,environment,ecological_preference,Humidity,,,categorical,,,,,,,,
,environment,ecological_preference,landuse intensity,,,categorical,,,,,,,,
,environment,ecological_preference,Light,,,categorical,,,,,,,,
,environment,ecological_preference,oxygen requirements (in water),,,categorical,,,,,,,,
,environment,ecological_preference,Substrate,,,categorical,,,,,,,,
,environment,ecological_preference,Temperature,,,categorical,,,,,,,,
,environment,habitat,Ecology_Type,,,categorical,,,,,,,,
,environment,habitat,Habitatcorrelations,,,categorical,,,,,,,,
,environment,habitat,Nature_Orientation,,,categorical,,,,,,,,
,environment,habitat,Niche,,,categorical,,,,,,,,
,environment,habitat,range of climatic zones,,,numerical,,,,,,,,
,environment,habitat,Special habitats,,,categorical,,,,,,,,
,environment,habitat,Subtsratgilde,,,categorical,,,,,,,,
,environment,habitat,Urwaldreliktart,,,boolean,,,,,,,,
,life-history,activity_time,Activity period,10,,character,,,, months from -- to,,,,
,life-history,activity_time,first observation in the year,,[date],integer,,,,,,,,
,life-history,activity_time,last observation in the year,,[date],integer,,,,,,,,
,life-history,activity_time,length of activity period,,[number months],integer,,,,,,,,
,life-history,activity_time,Activity_Type,,,categorical,,,,,,,,
,life-history,annual_activity_time,Hibernation_in_conifers,,,boolean,,,,,,,,
,life-history,clutch_size,clutch size,,,numerical,,,,,,,,
,life-history,clutch_size,Nr_eggs,,,numerical,,,,,,,,
,life-history,clutch_size,Nr_Ovariols,,,numerical,,,,,,,,
,life-history,egg_size,egg length,,,numerical,,,,,,,,
,life-history,egg_size,egg volume,,,numerical,,,,,,,,
,life-history,egg_size,egg weight,,,numerical,,,,,,,,
,life-history,egg_size,Egg_biomass,,,categorical,,,,,,,,
,life-history,hibernation_mode,Hibernation,,,categorical,,,,,,,,
,life-history,lifespan,average life span,,[d],numerical,,,,,,,,
,life-history,lifespan,maximum lifespan,,,numerical,,,,,,,,
A8,life-history,maturation,Age at maturity,,,numerical,,,,,,,,
,life-history,nesting_habitat,nest habitat specialisation,,,categorical,,,,,,,,
,life-history,ontogeny,Egg_development_time,,,categorical,,,,,,,,
